"Topic ID","Teaching group","Published lesson evidence","Required question evidence","Coordinator approval"
"2.1.04","Peril","Part 1","L01-01","Pending"
"2.1.05","Loss","Part 1","L01-08","Pending"
"2.1.06","Avoidance","Part 3","L03-01","Pending"
"2.1.07","Retention","Part 3","L03-03","Pending"
"2.1.08","Sharing","Part 3","L03-05","Pending"
"2.1.09","Reduction","Part 3","L03-02","Pending"
"2.1.10","Transfer","Part 3","L03-04","Pending"
"2.1.11","Insurable-risk characteristics","Part 3","L01-07; L03-06; L03-08","Pending"
"2.1.12","Adverse selection","Part 2","L02-06; L02-07; L02-08","Pending"
"2.1.13","Law of large numbers","Part 2","L02-03; L02-04; L02-05","Pending"
"2.1.14","Reinsurance","Part 3","L03-07","Pending"
"2.2.01","Stock and mutual-assessment organizations","Part 4","L04-01; L04-03; L04-04","Pending"
"2.2.02","Fraternal societies","Part 4","L04-05","Pending"
"2.2.03","Private and governmental insurers and plans","Part 4","L04-08","Pending"
"2.2.04","Admitted and nonadmitted status","Part 4","L04-01","Pending"
"2.2.05","Purchasing groups","Part 4","L04-08","Pending"
"2.2.06","Domestic, foreign and alien domicile","Part 4","L04-01; L04-02","Pending"
"2.2.07","Financial ratings and operating results","Part 4","L04-06","Pending"
"2.2.08","Distribution systems","Part 4","L04-07","Pending"
"2.2.09","Guaranty corporation relationship","Part 4; Part 17","L04-06; L17-04","Pending"
"2.3.01","Captive and independent producers","Part 5","L05-05; L05-07","Pending"
"2.3.02","Insurer as principal and producer as agent","Part 5","L05-01","Pending"
"2.3.03","Express authority","Part 5","L05-02; L05-07","Pending"
"2.3.04","Implied authority","Part 5","L05-03","Pending"
"2.3.05","Apparent authority","Part 5","L05-04","Pending"
"2.3.06","Duties to applicants and insureds","Part 5","L05-06; L05-08","Pending"
"2.4.01","Offer and acceptance","Part 6","L06-01","Pending"
"2.4.02","Consideration","Part 6","L06-02","Pending"
"2.4.03","Capacity and lawful purpose","Part 6","L06-03","Pending"
"2.4.04","Adhesion","Part 6","L06-04","Pending"
"2.4.05","Aleatory exchange","Part 6","L06-05","Pending"
"2.4.06","Personal-contract concept and life-policy assignability","Part 6","L06-08","Pending"
"2.4.07","Unilateral and conditional promises","Part 6","L06-06","Pending"
"2.4.08","Ambiguity and reasonable expectations","Part 7","L07-01","Pending"
"2.4.09","Indemnity compared with a stated life benefit","Part 6","L06-07","Pending"
"2.4.10","Utmost good faith","Part 7","L07-04; L07-07","Pending"
"2.4.11","Representations and misrepresentations","Part 7","L07-02; L07-03; L07-07; L07-08","Pending"
"2.4.12","Warranties","Part 7","L07-02","Pending"
"2.4.13","Concealment and fraud","Part 7","L07-04","Pending"
"2.4.14","Waiver and estoppel","Part 7","L07-05; L07-06","Pending"
"2.5.01","Consumer reports and FCRA rights","Part 8","L08-01; L08-02","Pending"
"2.5.02","Federal insurance fraud and false statements","Part 8","L08-03","Pending"
"2.5.03","Securities oversight of variable products","Part 8","L08-04","Pending"
"2.6.01","NAIC role","Part 8","L08-05","Pending"
"2.6.02","Interstate insurance product compact and IIPRC role","Part 8","L08-06","Pending"
"2.6.03","NCOIL role","Part 8","L08-07","Pending"
"2.6.04","Industry and producer associations","Part 8","L08-08","Pending"
"3.1.01","Family and economic interest","Part 18; Part 59","L18-04; L18-05; L18-08; L59-03","Pending"
"3.1.02","Time the contract is made","Part 18","L18-06","Pending"
"3.1.03","Own-life purchases versus insurance on another","Part 18; Part 59","L18-01; L18-02; L18-03; L18-07; L18-08; L59-03","Pending"
"3.2.01","Survivor support","Part 19","L19-08","Pending"
"3.2.02","Estate planning","Part 19","L19-06","Pending"
"3.2.03","Cash accumulation","Part 19","L19-07","Pending"
"3.2.04","Liquidity","Part 19","L19-06","Pending"
"3.2.05","Estate conservation","Part 19","L19-06","Pending"
"3.2.06","Personal mortgage debt protection","Part 19","L19-05","Pending"
"3.3.01","Purpose and transaction structure","Part 20","L20-01; L20-08","Pending"
"3.3.02","Broker authority and licensing","Part 20","L20-03","Pending"
"3.3.03","Consumer disclosures","Part 20","L20-05","Pending"
"3.3.04","General transaction rules","Part 20","L20-06; L20-08","Pending"
"3.3.05","Settlement fraud","Part 20","L20-07","Pending"
"3.3.06","Chronic illness and terminal illness definitions","Part 20","L20-04","Pending"
"3.3.07","Fraudulent settlement acts","Part 20","L20-07","Pending"
"3.3.08","Broker, provider, purchaser and viator roles","Part 20","L20-02","Pending"
"3.4.01","Human-life-value method","Part 19","L19-01","Pending"
"3.4.02","Needs-based method","Part 19; Part 59","L19-02; L19-04; L59-02; L59-07","Pending"
"3.4.03","Fact gathering","Part 19; Part 59","L19-05; L59-07","Pending"
"3.4.04","Lump-sum obligations","Part 19; Part 59","L19-04; L59-02","Pending"
"3.4.05","Income replacement","Part 19; Part 59","L19-03; L59-01","Pending"
"3.4.06","Social Security survivor benefits","Part 19","L19-08","Pending"
"3.5.01","Buy-sell funding","Part 21; Part 60","L21-01; L21-02; L21-03; L21-06; L21-07; L21-08; L60-02","Pending"
"3.5.02","Key-person protection","Part 21; Part 60","L21-04; L21-08; L60-01","Pending"
"3.5.03","Executive bonus arrangements","Part 21","L21-05; L21-08","Pending"
"3.6.01","Individual versus group","Part 22; Part 31","L22-01; L31-01","Pending"
"3.6.02","Ordinary life","Part 22","L22-01","Pending"
"3.6.03","Permanent versus temporary protection","Part 22","L22-01","Pending"
"3.6.04","Participating versus nonparticipating","Part 22; Part 39","L22-01; L22-02; L39-01","Pending"
"3.6.05","Fixed versus variable life and annuity designs","Part 22","L22-03","Pending"
"3.6.06","Variable products and FINRA","Part 22; Part 29","L22-03; L29-08","Pending"
"3.6.07","U.S. government life programs","Part 31","L31-09; L31-10","Pending"
"3.7.01","Mortality assumption","Part 22","L22-04; L22-07","Pending"
"3.7.02","Interest assumption","Part 22","L22-05; L22-08","Pending"
"3.7.03","Expenses","Part 22","L22-06","Pending"
"3.7.04","Net single premium","Part 22","L22-07; L22-08; L22-09","Pending"
"3.7.05","Gross annual premium","Part 22","L22-06; L22-09","Pending"
"3.7.06","Payment mode","Part 22","L22-10","Pending"
"3.8.01","Life and annuity advertising","Part 14","L14-01","Pending"
"3.8.02","Sales presentations and guaranty advertising restrictions","Part 17","L17-07","Pending"
"3.8.03","Illustrations","Part 14","L14-02; L14-03","Pending"
"3.8.04","Policy summary and buyer guide","Part 14","L14-04; L14-05","Pending"
"3.8.05","Cost and benefit disclosure","Part 14","L14-02","Pending"
"3.8.06","Replacement","Part 15; Part 59","L15-01; L15-03; L15-08; L59-08","Pending"
"3.8.07","Use of insurance information","Part 14; Part 23; Part 24","L14-06; L14-08; L23-05","Pending"
"3.8.08","Field underwriting","Part 23","L23-01","Pending"
"3.8.09","Information-practices notices and adverse decisions","Part 14; Part 23; Part 24","L14-06; L23-08; L24-10","Pending"
"3.8.10","Application signatures","Part 23","L23-02","Pending"
"3.8.11","Application corrections and incompleteness","Part 23; Part 59","L23-02; L23-03","Pending"
"3.8.12","Representations versus warranties","Part 23","L23-04","Pending"
"3.8.13","Initial premium and receipt conditions","Part 23; Part 25; Part 59","L25-01; L25-02; L25-03; L25-04; L59-04","Pending"
"3.8.14","Point-of-sale privacy and HIV consent","Part 23; Part 24","L23-05","Pending"
"3.8.15","PATRIOT Act and anti-money-laundering duties","Part 23","L23-06; L23-07","Pending"
"3.8.16","Delivery review and effective date","Part 25; Part 59","L25-05; L25-07; L25-08; L59-04","Pending"
"3.8.17","Premium collection and good-health statement","Part 25; Part 59","L25-05; L25-06; L59-04","Pending"
"3.9.01","Application and producer report","Part 23; Part 24","L23-01; L24-04","Pending"
"3.9.02","Attending physician statement","Part 24","L24-01","Pending"
"3.9.03","Investigative consumer report","Part 24","L24-03; L24-10","Pending"
"3.9.04","MIB information","Part 24","L24-04; L24-10","Pending"
"3.9.05","Medical examination, laboratory results and HIV","Part 24","L24-02","Pending"
"3.9.06","Permitted selection and unfair discrimination","Part 24","L24-09","Pending"
"3.9.07","Domestic-violence protections","Part 24","L24-09","Pending"
"3.9.08","Preferred risk","Part 24","L24-05","Pending"
"3.9.09","Standard risk","Part 24","L24-06","Pending"
"3.9.10","Substandard risk","Part 24","L24-07","Pending"
"3.9.11","Declined application","Part 24","L24-08","Pending"
"4.1.01","Level benefit","Part 26; Part 59","L26-01","Pending"
"4.1.02","Annual renewal","Part 26","L26-02; L26-03","Pending"
"4.1.03","Level premium period","Part 26; Part 59","L26-01","Pending"
"4.1.04","Conversion","Part 26; Part 59","L26-04; L26-05","Pending"
"4.1.05","Decreasing benefit","Part 26","L26-06","Pending"
"4.1.06","Increasing benefit","Part 26","L26-07","Pending"
"4.1.07","Return-of-premium term","Part 26","L26-08","Pending"
"4.2.01","Ordinary and continuous-pay whole life","Part 27","L27-01; L27-07; L27-08","Pending"
"4.2.02","Limited-pay whole life","Part 27","L27-02; L27-03; L27-08","Pending"
"4.2.03","Interest-sensitive and current-assumption designs","Part 28","L28-04","Pending"
"4.2.04","Indexed/equity-indexed designs","Part 28","L28-05; L28-06; L28-07; L28-08","Pending"
"4.2.05","Graded premiums","Part 27","L27-05; L27-06","Pending"
"4.2.06","Single premiums","Part 27","L27-04","Pending"
"4.2.07","Variable whole life","Part 29","L29-01; L29-02; L29-03; L29-04; L29-08","Pending"
"4.2.08","Variable universal life","Part 29","L29-01; L29-03; L29-04; L29-05; L29-08","Pending"
"4.3.01","Adjustable life changes","Part 29","L29-06; L29-07","Pending"
"4.3.02","Universal life funding, charges and guarantees","Part 28","L28-01; L28-02; L28-03; L28-06; L28-09; L28-10","Pending"
"4.4.01","Family protection and family plans","Part 30","L30-01; L30-02","Pending"
"4.4.02","First-death joint coverage","Part 30","L30-03","Pending"
"4.4.03","Last-survivor coverage","Part 30","L30-04","Pending"
"4.4.04","Juvenile and student coverage","Part 30","L30-05; L30-06","Pending"
"4.5.01","Master contract and certificates","Part 31","L31-01","Pending"
"4.5.02","Employer groups","Part 31","L31-01","Pending"
"4.5.03","Debtor groups","Part 31","L31-05","Pending"
"4.5.04","Labor unions","Part 31","L31-02","Pending"
"4.5.05","Trust groups","Part 31","L31-03","Pending"
"4.5.06","Associations","Part 31","L31-04","Pending"
"4.5.07","Group underwriting","Part 31","L31-06","Pending"
"4.5.08","Benefit payment","Part 31","L31-07","Pending"
"4.5.09","Dependents and covered lives","Part 31","L31-07","Pending"
"4.5.10","Individual conversion","Part 31","L31-08","Pending"
"4.5.11","Contributory and noncontributory funding","Part 31","L31-07","Pending"
"4.6.01","Individual credit life","Part 30","L30-08; L30-09; L30-10","Pending"
"4.6.02","Group credit life","Part 30","L30-07; L30-09; L30-10","Pending"
"5.1.01","Owner rights","Part 18; Part 32; Part 59","L18-02; L32-01; L32-02; L59-03","Pending"
"5.1.02","Assignment","Part 32","L32-03; L32-04; L32-05","Pending"
"5.1.03","Entire contract","Part 32","L32-06; L32-07; L32-08","Pending"
"5.1.04","Free look","Part 34; Part 59","L34-01; L34-02","Pending"
"5.1.05","Premium payments","Part 34; Part 59","L34-03","Pending"
"5.1.06","Grace","Part 34; Part 59","L34-04; L34-05; L34-08; L59-05","Pending"
"5.1.07","Reinstatement","Part 35; Part 59","L35-01; L35-02; L35-03; L59-05","Pending"
"5.1.08","Incontestability","Part 34; Part 35; Part 59","L34-06; L34-07; L34-08; L35-03","Pending"
"5.1.09","Misstated age and gender","Part 35","L35-04; L35-05","Pending"
"5.1.10","Suicide exclusion","Part 35","L35-06","Pending"
"5.1.11","War exclusion","Part 35","L35-07","Pending"
"5.1.12","Interest on proceeds","Part 17; Part 36","L17-03; L36-08","Pending"
"5.1.13","Prohibited provisions and backdating","Part 35","L35-08; L35-09","Pending"
"5.2.01","Individual and class designations","Part 33","L33-02","Pending"
"5.2.02","Estate beneficiary","Part 33","L33-03","Pending"
"5.2.03","Minor beneficiary","Part 33; Part 59","L33-04","Pending"
"5.2.04","Trust beneficiary","Part 33; Part 59","L33-05","Pending"
"5.2.05","Primary and contingent succession","Part 33; Part 59","L33-01","Pending"
"5.2.06","Revocable and irrevocable designation","Part 33","L33-06","Pending"
"5.2.07","Annulment and divorce","Part 33","L33-07","Pending"
"5.2.08","Common disaster","Part 33","L33-08; L33-09","Pending"
"5.2.09","Facility of payment","Part 33","L33-10","Pending"
"5.3.01","Lump sum","Part 36","L36-01; L36-09","Pending"
"5.3.02","Interest-only payments","Part 36","L36-02","Pending"
"5.3.03","Fixed period","Part 36","L36-03","Pending"
"5.3.04","Fixed amount","Part 36","L36-04","Pending"
"5.3.05","Lifetime income","Part 36","L36-05; L36-06","Pending"
"5.3.06","Single life","Part 36","L36-05; L36-06","Pending"
"5.3.07","Joint and survivor income","Part 36","L36-07","Pending"
"5.4.01","Cash surrender","Part 37","L37-01; L37-02; L37-07; L37-08","Pending"
"5.4.02","Extended term","Part 37","L37-03; L37-05","Pending"
"5.4.03","Reduced paid-up coverage","Part 37","L37-04; L37-05; L37-06","Pending"
"5.5.01","Cash-value loan","Part 38; Part 59","L38-01; L38-02; L38-07; L38-08; L38-09; L59-06","Pending"
"5.5.02","Automatic premium loan","Part 38","L38-03; L38-04; L38-08","Pending"
"5.5.03","Partial withdrawal/surrender","Part 38","L38-05","Pending"
"5.5.04","Educational loans","Part 38","L38-06","Pending"
"5.5.05","Required automatic option referenced by the outline","Part 38","L38-03","Pending"
"5.6.01","Cash dividend","Part 39","L39-03; L39-09","Pending"
"5.6.02","Premium reduction","Part 39","L39-02; L39-07; L39-09","Pending"
"5.6.03","Interest accumulation","Part 39","L39-04; L39-09","Pending"
"5.6.04","One-year term purchase","Part 39","L39-05; L39-09","Pending"
"5.6.05","Paid-up additions","Part 39","L39-06; L39-09","Pending"
"5.6.06","Paid-up insurance","Part 39","L39-07; L39-08; L39-09","Pending"
"5.7.01","Premium waiver","Part 40","L40-01; L40-05; L40-06","Pending"
"5.7.02","Cost-of-insurance waiver","Part 40","L40-02; L40-05","Pending"
"5.7.03","Disability income benefit","Part 40","L40-03; L40-08","Pending"
"5.7.04","Juvenile payor life/disability benefit","Part 40","L40-04; L40-07","Pending"
"5.8.01","Terminal or catastrophic illness","Part 41","L41-01","Pending"
"5.8.02","Permanent confinement","Part 41","L41-02","Pending"
"5.8.03","ADL triggers","Part 41","L41-03","Pending"
"5.8.04","Written disclosures","Part 41","L41-05; L41-09","Pending"
"5.8.05","Death-benefit reduction","Part 41","L41-01; L41-04","Pending"
"5.8.06","Effects on cash value","Part 41","L41-06","Pending"
"5.8.07","Loans and interest","Part 41","L41-06","Pending"
"5.8.08","Tax treatment","Part 41","L41-08","Pending"
"5.8.09","Premium effects","Part 41","L41-07","Pending"
"5.9.01","Spouse or other-insured term rider","Part 42","L42-01; L42-07","Pending"
"5.9.02","Children’s term rider","Part 42","L42-02; L42-03; L42-05; L42-06; L42-08","Pending"
"5.9.03","Family term rider","Part 42","L42-04; L42-08","Pending"
"5.10.01","Accidental death","Part 43","L43-01; L43-02","Pending"
"5.10.02","Guaranteed insurability","Part 43","L43-03; L43-04","Pending"
"5.10.03","Cost-of-living adjustment","Part 43","L43-05; L43-06","Pending"
"5.10.04","Return-of-premium rider","Part 43","L43-07; L43-08","Pending"
"6.1.01","Accumulation phase","Part 44","L44-02","Pending"
"6.1.02","Annuitization phase","Part 44","L44-03; L44-08","Pending"
"6.1.03","Owner","Part 44","L44-04","Pending"
"6.1.04","Annuitant","Part 44","L44-04","Pending"
"6.1.05","Beneficiary","Part 44","L44-05","Pending"
"6.1.06","Insurance function","Part 44","L44-01; L44-07","Pending"
"6.1.07","Suitability","Part 44; Part 60","L44-06","Pending"
"6.2.01","Single-premium immediate income","Part 45","L45-02","Pending"
"6.2.02","Deferred accumulation","Part 45","L45-01","Pending"
"6.2.03","Premium payment choices","Part 45","L45-01; L45-03","Pending"
"6.2.04","Nonforfeiture values","Part 45","L45-05; L45-09","Pending"
"6.2.05","Surrender charges","Part 45","L45-04; L45-07","Pending"
"6.2.06","Bailout provisions","Part 45","L45-06; L45-07","Pending"
"6.2.07","Death benefits","Part 45","L45-08","Pending"
"6.3.01","Life-contingent income","Part 46; Part 60","L46-01; L46-03; L60-06","Pending"
"6.3.02","Pure life and guaranteed minimum payments","Part 46; Part 60","L46-01; L46-02; L46-03; L46-04; L46-05; L60-05; L60-06","Pending"
"6.3.03","Single and multiple lives","Part 46; Part 60","L46-06","Pending"
"6.3.04","Fixed-period certain","Part 46","L46-07; L46-09","Pending"
"6.3.05","Fixed-amount certain","Part 46","L46-08; L46-09","Pending"
"6.4.01","Fixed: general account, minimum/current rate and level-benefit design","Part 47","L47-01; L47-09","Pending"
"6.4.02","Variable: separate-account investment exposure and variable benefits","Part 47","L47-02; L47-03","Pending"
"6.4.03","Indexed crediting","Part 47","L47-04; L47-05; L47-06","Pending"
"6.4.04","Market-value-adjusted/modified-guaranteed contracts","Part 47","L47-07; L47-08","Pending"
"6.5.01","Lump-sum funding","Part 48","L48-01","Pending"
"6.5.02","Qualified group/individual plans","Part 48; Part 60","L48-02","Pending"
"6.5.03","IRAs","Part 48; Part 60","L48-02; L48-03; L60-04","Pending"
"6.5.04","Tax deferral","Part 48; Part 60","L48-03; L48-04; L60-04","Pending"
"6.5.05","Retirement income","Part 48; Part 60","L48-01","Pending"
"6.5.06","Education funding","Part 48","L48-05","Pending"
"6.5.07","Charitable gift annuities","Part 48","L48-06","Pending"
"6.5.08","Suitability in transactions","Part 48; Part 60","L48-01; L48-07; L48-08; L48-09; L48-10; L48-11; L48-12","Pending"
"7.1.01","Owner cash values","Part 49","L49-01","Pending"
"7.1.02","Dividends","Part 49","L49-02","Pending"
"7.1.03","Policy loans","Part 49","L49-03","Pending"
"7.1.04","Surrenders","Part 49","L49-03; L49-04","Pending"
"7.1.05","Beneficiary general rule and exceptions","Part 49","L49-05; L49-08","Pending"
"7.1.06","Tax treatment of settlement payments","Part 49","L49-06","Pending"
"7.1.07","Estate inclusion","Part 49","L49-07","Pending"
"7.2.01","MEC versus non-MEC status","Part 50","L50-01; L50-09","Pending"
"7.2.02","Seven-pay test","Part 50","L50-02; L50-03","Pending"
"7.2.03","Distribution and loan taxation","Part 50","L50-04; L50-05; L50-06; L50-07; L50-08","Pending"
"7.3.01","Accumulation withdrawals","Part 51; Part 60","L51-01; L51-02; L51-03; L51-04; L51-05; L51-06; L51-07; L51-08; L60-07; L60-08","Pending"
"7.3.02","Annuitized payments and exclusion ratio","Part 52","L52-01; L52-02; L52-03","Pending"
"7.3.03","Death distributions","Part 52","L52-04; L52-05; L52-06; L52-07","Pending"
"7.3.04","Corporate ownership","Part 52","L52-08; L52-09","Pending"
"7.4.01","Traditional contributions and deductibility","Part 53","L53-01; L53-02; L53-03; L53-04","Pending"
"7.4.02","Early-distribution additional tax","Part 53","L53-06","Pending"
"7.4.03","Annuitization and benefit taxation","Part 53","L53-04; L53-05; L53-07; L53-08","Pending"
"7.4.04","Estate and beneficiary issues","Part 53","L53-09","Pending"
"7.4.05","Roth contributions and limits","Part 54","L54-01; L54-02","Pending"
"7.4.06","Roth distributions","Part 54","L54-03; L54-04; L54-05; L54-06; L54-07; L54-08; L54-09","Pending"
"7.5.01","Rollovers","Part 55; Part 60","L55-02; L55-03; L55-04; L55-05; L55-06; L55-07; L60-03","Pending"
"7.5.02","Trustee transfers","Part 55; Part 60","L55-01; L55-02; L55-08; L60-03","Pending"
"7.6.01","Section 1035 exchanges","Part 56; Part 60","L56-01; L56-02; L56-03; L56-04; L56-05; L56-06; L56-07; L56-08","Pending"
"8.1.01","General qualified-plan requirements","Part 57","L57-01; L57-02; L57-03; L57-04","Pending"
"8.2.01","Employer tax advantages","Part 57","L57-05","Pending"
"8.2.02","Employee tax advantages","Part 57","L57-06","Pending"
"8.2.03","Distribution tax and age conditions","Part 57","L57-07; L57-08; L57-09","Pending"
"8.3.01","SEP","Part 58","L58-01; L58-02; L58-08","Pending"
"8.3.02","Keogh/HR-10","Part 58","L58-03","Pending"
"8.3.03","Profit sharing and 401(k)","Part 58; Part 60","L58-04","Pending"
"8.3.04","SIMPLE","Part 58","L58-05; L58-07; L58-08","Pending"
"8.3.05","403(b)","Part 58","L58-06","Pending"
